r_version	r_release_date	r_freeze_date
4.0.0	2020-04-24	2020-06-05
4.0.1	2020-06-06	2020-06-21
4.0.2	2020-06-22	2020-10-09
4.0.3	2020-10-10	2021-02-14
4.0.4	2021-02-15	2021-03-30
4.0.5	2021-03-31	2021-05-17
4.1.0	2021-05-18	2021-08-09
4.1.1	2021-08-10	2021-10-31
4.1.2	2021-11-01	2022-03-09
4.1.3	2022-03-10	2022-04-21
4.2.0	2022-04-22	2022-06-22
4.2.1	2022-06-23	2022-10-30
4.2.2	2022-10-31	2023-03-14
4.2.3	2023-03-15	2023-04-20
4.3.0	2023-04-21	2023-06-15
4.3.1	2023-06-16	2023-10-30
4.3.2	2023-10-31	2024-02-28
4.3.3	2024-02-29	2024-04-23
4.4.0	2024-04-24	2024-06-13
4.4.1	2024-06-14	2024-10-30
4.4.2	2024-10-31	2025-02-27
4.4.3	2025-02-28	
